,data
2022-04-11 11:01:54,111
2022-04-11 11:01:55,142
2022-04-11 11:01:56,57
2022-04-11 11:01:57,59
2022-04-11 11:01:58,126
2022-04-11 11:01:59,143
2022-04-11 11:02:00,141
2022-04-11 11:02:01,101
2022-04-11 11:02:02,130
2022-04-11 11:02:03,115
2022-04-11 11:02:04,52
2022-04-11 11:02:05,91
2022-04-11 11:02:06,128
2022-04-11 11:02:07,51
2022-04-11 11:02:08,143
2022-04-11 11:02:09,133
2022-04-11 11:02:10,67
2022-04-11 11:02:11,147
2022-04-11 11:02:12,105
2022-04-11 11:02:13,146
2022-04-11 11:02:14,96
2022-04-11 11:02:15,77
2022-04-11 11:02:16,109
2022-04-11 11:02:17,112
2022-04-11 11:02:18,85
2022-04-11 11:02:19,76
2022-04-11 11:02:20,86
2022-04-11 11:02:21,58
2022-04-11 11:02:22,62
2022-04-11 11:02:23,62
2022-04-11 11:02:24,144
2022-04-11 11:02:25,98
2022-04-11 11:02:26,128
2022-04-11 11:02:27,58
2022-04-11 11:02:28,83
2022-04-11 11:02:29,102
2022-04-11 11:02:30,53
2022-04-11 11:02:31,58
2022-04-11 11:02:32,86
2022-04-11 11:02:33,50
2022-04-11 11:02:34,63
2022-04-11 11:02:35,128
2022-04-11 11:02:36,75
2022-04-11 11:02:37,139
2022-04-11 11:02:38,103
2022-04-11 11:02:39,79
2022-04-11 11:02:40,104
2022-04-11 11:02:41,50
2022-04-11 11:02:42,65
2022-04-11 11:02:43,109
2022-04-11 11:02:44,115
2022-04-11 11:02:45,82
2022-04-11 11:02:46,57
2022-04-11 11:02:47,89
2022-04-11 11:02:48,134
2022-04-11 11:02:49,150
2022-04-11 11:02:50,145
2022-04-11 11:02:51,57
2022-04-11 11:02:52,87
2022-04-11 11:02:53,127
2022-04-11 11:02:54,98
2022-04-11 11:02:55,127
2022-04-11 11:02:56,139
2022-04-11 11:02:57,88
2022-04-11 11:02:58,100
2022-04-11 11:02:59,71
2022-04-11 11:03:00,78
2022-04-11 11:03:01,75
2022-04-11 11:03:02,71
2022-04-11 11:03:03,68
2022-04-11 11:03:04,127
2022-04-11 11:03:05,71
2022-04-11 11:03:06,55
2022-04-11 11:03:07,134
2022-04-11 11:03:08,117
2022-04-11 11:03:09,72
2022-04-11 11:03:10,63
2022-04-11 11:03:11,108
2022-04-11 11:03:12,121
2022-04-11 11:03:13,60
2022-04-11 11:03:14,95
2022-04-11 11:03:15,136
2022-04-11 11:03:16,96
2022-04-11 11:03:17,51
2022-04-11 11:03:18,147
2022-04-11 11:03:19,97
2022-04-11 11:03:20,140
2022-04-11 11:03:21,62
2022-04-11 11:03:22,111
2022-04-11 11:03:23,139
2022-04-11 11:03:24,73
2022-04-11 11:03:25,142
2022-04-11 11:03:26,143
2022-04-11 11:03:27,77
2022-04-11 11:03:28,97
2022-04-11 11:03:29,115
2022-04-11 11:03:30,84
2022-04-11 11:03:31,113
2022-04-11 11:03:32,110
2022-04-11 11:03:33,136
2022-04-11 11:03:34,100
2022-04-11 11:03:35,107
2022-04-11 11:03:36,102
2022-04-11 11:03:37,84
2022-04-11 11:03:38,138
2022-04-11 11:03:39,123
2022-04-11 11:03:40,68
2022-04-11 11:03:41,134
2022-04-11 11:03:42,69
2022-04-11 11:03:43,116
2022-04-11 11:03:44,112
2022-04-11 11:03:45,108
2022-04-11 11:03:46,118
2022-04-11 11:03:47,95
2022-04-11 11:03:48,69
2022-04-11 11:03:49,93
2022-04-11 11:03:50,84
2022-04-11 11:03:51,127
2022-04-11 11:03:52,134
2022-04-11 11:03:53,115
2022-04-11 11:03:54,100
2022-04-11 11:03:55,59
2022-04-11 11:03:56,77
2022-04-11 11:03:57,58
2022-04-11 11:03:58,74
2022-04-11 11:03:59,126
2022-04-11 11:04:00,85
2022-04-11 11:04:01,115
2022-04-11 11:04:02,128
2022-04-11 11:04:03,91
2022-04-11 11:04:04,114
2022-04-11 11:04:05,109
2022-04-11 11:04:06,53
2022-04-11 11:04:07,140
2022-04-11 11:04:08,136
2022-04-11 11:04:09,136
2022-04-11 11:04:10,98
2022-04-11 11:04:11,139
2022-04-11 11:04:12,146
2022-04-11 11:04:13,60
2022-04-11 11:04:14,114
2022-04-11 11:04:15,129
2022-04-11 11:04:16,88
2022-04-11 11:04:17,98
2022-04-11 11:04:18,78
2022-04-11 11:04:19,147
2022-04-11 11:04:20,141
2022-04-11 11:04:21,115
2022-04-11 11:04:22,134
2022-04-11 11:04:23,130
2022-04-11 11:04:24,76
2022-04-11 11:04:25,98
2022-04-11 11:04:26,65
2022-04-11 11:04:27,97
2022-04-11 11:04:28,79
2022-04-11 11:04:29,101
2022-04-11 11:04:30,106
2022-04-11 11:04:31,80
2022-04-11 11:04:32,137
2022-04-11 11:04:33,147
2022-04-11 11:04:34,130
2022-04-11 11:04:35,116
2022-04-11 11:04:36,88
2022-04-11 11:04:37,128
2022-04-11 11:04:38,84
2022-04-11 11:04:39,142
2022-04-11 11:04:40,105
2022-04-11 11:04:41,85
2022-04-11 11:04:42,91
2022-04-11 11:04:43,50
2022-04-11 11:04:44,72
2022-04-11 11:04:45,52
2022-04-11 11:04:46,70
2022-04-11 11:04:47,115
2022-04-11 11:04:48,80
2022-04-11 11:04:49,114
2022-04-11 11:04:50,107
2022-04-11 11:04:51,68
2022-04-11 11:04:52,92
2022-04-11 11:04:53,127
2022-04-11 11:04:54,58
2022-04-11 11:04:55,147
2022-04-11 11:04:56,123
2022-04-11 11:04:57,84
2022-04-11 11:04:58,149
2022-04-11 11:04:59,120
2022-04-11 11:05:00,58
2022-04-11 11:05:01,125
2022-04-11 11:05:02,94
2022-04-11 11:05:03,67
2022-04-11 11:05:04,78
2022-04-11 11:05:05,128
2022-04-11 11:05:06,57
2022-04-11 11:05:07,100
2022-04-11 11:05:08,96
2022-04-11 11:05:09,112
2022-04-11 11:05:10,109
2022-04-11 11:05:11,66
2022-04-11 11:05:12,115
2022-04-11 11:05:13,130
2022-04-11 11:05:14,101
2022-04-11 11:05:15,117
2022-04-11 11:05:16,133
2022-04-11 11:05:17,136
2022-04-11 11:05:18,125
2022-04-11 11:05:19,109
2022-04-11 11:05:20,61
2022-04-11 11:05:21,150
2022-04-11 11:05:22,121
2022-04-11 11:05:23,96
2022-04-11 11:05:24,105
2022-04-11 11:05:25,134
2022-04-11 11:05:26,62
2022-04-11 11:05:27,78
2022-04-11 11:05:28,84
2022-04-11 11:05:29,84
2022-04-11 11:05:30,142
2022-04-11 11:05:31,63
2022-04-11 11:05:32,55
2022-04-11 11:05:33,95
2022-04-11 11:05:34,81
2022-04-11 11:05:35,136
2022-04-11 11:05:36,106
2022-04-11 11:05:37,130
2022-04-11 11:05:38,76
2022-04-11 11:05:39,120
2022-04-11 11:05:40,112
2022-04-11 11:05:41,123
2022-04-11 11:05:42,124
2022-04-11 11:05:43,128
2022-04-11 11:05:44,63
2022-04-11 11:05:45,68
2022-04-11 11:05:46,88
2022-04-11 11:05:47,74
2022-04-11 11:05:48,79
2022-04-11 11:05:49,52
2022-04-11 11:05:50,103
2022-04-11 11:05:51,58
2022-04-11 11:05:52,145
2022-04-11 11:05:53,94
2022-04-11 11:05:54,130
2022-04-11 11:05:55,82
2022-04-11 11:05:56,63
2022-04-11 11:05:57,102
2022-04-11 11:05:58,96
2022-04-11 11:05:59,118
2022-04-11 11:06:00,114
2022-04-11 11:06:01,113
2022-04-11 11:06:02,88
2022-04-11 11:06:03,149
2022-04-11 11:06:04,50
2022-04-11 11:06:05,104
2022-04-11 11:06:06,117
2022-04-11 11:06:07,103
2022-04-11 11:06:08,97
2022-04-11 11:06:09,143
2022-04-11 11:06:10,51
2022-04-11 11:06:11,135
2022-04-11 11:06:12,124
2022-04-11 11:06:13,67
2022-04-11 11:06:14,109
2022-04-11 11:06:15,75
2022-04-11 11:06:16,143
2022-04-11 11:06:17,78
2022-04-11 11:06:18,137
2022-04-11 11:06:19,57
2022-04-11 11:06:20,95
2022-04-11 11:06:21,125
2022-04-11 11:06:22,127
2022-04-11 11:06:23,63
2022-04-11 11:06:24,140
2022-04-11 11:06:25,135
2022-04-11 11:06:26,132
2022-04-11 11:06:27,143
2022-04-11 11:06:28,63
2022-04-11 11:06:29,50
2022-04-11 11:06:30,90
2022-04-11 11:06:31,132
2022-04-11 11:06:32,69
2022-04-11 11:06:33,118
2022-04-11 11:06:34,93
2022-04-11 11:06:35,65
2022-04-11 11:06:36,58
2022-04-11 11:06:37,50
2022-04-11 11:06:38,126
2022-04-11 11:06:39,74
2022-04-11 11:06:40,116
2022-04-11 11:06:41,142
2022-04-11 11:06:42,64
2022-04-11 11:06:43,146
2022-04-11 11:06:44,98
2022-04-11 11:06:45,69
2022-04-11 11:06:46,121
2022-04-11 11:06:47,56
2022-04-11 11:06:48,141
2022-04-11 11:06:49,109
2022-04-11 11:06:50,135
2022-04-11 11:06:51,145
2022-04-11 11:06:52,107
2022-04-11 11:06:53,79
2022-04-11 11:06:54,69
2022-04-11 11:06:55,140
2022-04-11 11:06:56,92
2022-04-11 11:06:57,133
2022-04-11 11:06:58,144
2022-04-11 11:06:59,103
2022-04-11 11:07:00,130
2022-04-11 11:07:01,53
2022-04-11 11:07:02,104
2022-04-11 11:07:03,142
2022-04-11 11:07:04,52
2022-04-11 11:07:05,68
2022-04-11 11:07:06,121
2022-04-11 11:07:07,85
2022-04-11 11:07:08,139
2022-04-11 11:07:09,127
2022-04-11 11:07:10,71
2022-04-11 11:07:11,75
2022-04-11 11:07:12,132
2022-04-11 11:07:13,51
2022-04-11 11:07:14,106
2022-04-11 11:07:15,66
2022-04-11 11:07:16,83
2022-04-11 11:07:17,101
2022-04-11 11:07:18,91
2022-04-11 11:07:19,70
2022-04-11 11:07:20,73
2022-04-11 11:07:21,86
2022-04-11 11:07:22,85
2022-04-11 11:07:23,133
2022-04-11 11:07:24,101
2022-04-11 11:07:25,95
2022-04-11 11:07:26,62
2022-04-11 11:07:27,63
2022-04-11 11:07:28,96
2022-04-11 11:07:29,91
2022-04-11 11:07:30,121
2022-04-11 11:07:31,121
2022-04-11 11:07:32,117
2022-04-11 11:07:33,53
2022-04-11 11:07:34,62
2022-04-11 11:07:35,107
2022-04-11 11:07:36,51
2022-04-11 11:07:37,67
2022-04-11 11:07:38,101
2022-04-11 11:07:39,93
2022-04-11 11:07:40,57
2022-04-11 11:07:41,82
2022-04-11 11:07:42,84
2022-04-11 11:07:43,107
2022-04-11 11:07:44,97
2022-04-11 11:07:45,83
2022-04-11 11:07:46,76
2022-04-11 11:07:47,65
2022-04-11 11:07:48,117
2022-04-11 11:07:49,122
2022-04-11 11:07:50,80
2022-04-11 11:07:51,127
2022-04-11 11:07:52,102
2022-04-11 11:07:53,73
2022-04-11 11:07:54,105
2022-04-11 11:07:55,106
2022-04-11 11:07:56,95
2022-04-11 11:07:57,66
2022-04-11 11:07:58,127
2022-04-11 11:07:59,67
2022-04-11 11:08:00,118
2022-04-11 11:08:01,138
2022-04-11 11:08:02,144
2022-04-11 11:08:03,124
2022-04-11 11:08:04,88
2022-04-11 11:08:05,81
2022-04-11 11:08:06,107
2022-04-11 11:08:07,117
2022-04-11 11:08:08,149
2022-04-11 11:08:09,140
2022-04-11 11:08:10,73
2022-04-11 11:08:11,74
2022-04-11 11:08:12,50
2022-04-11 11:08:13,149
2022-04-11 11:08:14,81
2022-04-11 11:08:15,90
2022-04-11 11:08:16,121
2022-04-11 11:08:17,121
2022-04-11 11:08:18,100
2022-04-11 11:08:19,128
2022-04-11 11:08:20,58
2022-04-11 11:08:21,111
2022-04-11 11:08:22,57
2022-04-11 11:08:23,127
2022-04-11 11:08:24,113
2022-04-11 11:08:25,58
2022-04-11 11:08:26,108
2022-04-11 11:08:27,116
2022-04-11 11:08:28,114
2022-04-11 11:08:29,143
2022-04-11 11:08:30,125
2022-04-11 11:08:31,150
2022-04-11 11:08:32,86
2022-04-11 11:08:33,127
2022-04-11 11:08:34,108
2022-04-11 11:08:35,109
2022-04-11 11:08:36,76
2022-04-11 11:08:37,59
2022-04-11 11:08:38,120
2022-04-11 11:08:39,135
2022-04-11 11:08:40,100
2022-04-11 11:08:41,107
2022-04-11 11:08:42,101
2022-04-11 11:08:43,136
2022-04-11 11:08:44,83
2022-04-11 11:08:45,127
2022-04-11 11:08:46,104
2022-04-11 11:08:47,88
2022-04-11 11:08:48,100
2022-04-11 11:08:49,75
2022-04-11 11:08:50,102
2022-04-11 11:08:51,80
2022-04-11 11:08:52,86
2022-04-11 11:08:53,94
2022-04-11 11:08:54,92
2022-04-11 11:08:55,89
2022-04-11 11:08:56,147
2022-04-11 11:08:57,76
2022-04-11 11:08:58,126
2022-04-11 11:08:59,106
2022-04-11 11:09:00,110
2022-04-11 11:09:01,106
2022-04-11 11:09:02,87
2022-04-11 11:09:03,60
2022-04-11 11:09:04,102
2022-04-11 11:09:05,52
2022-04-11 11:09:06,115
2022-04-11 11:09:07,144
2022-04-11 11:09:08,96
2022-04-11 11:09:09,118
2022-04-11 11:09:10,60
2022-04-11 11:09:11,142
2022-04-11 11:09:12,136
2022-04-11 11:09:13,86
2022-04-11 11:09:14,80
2022-04-11 11:09:15,85
2022-04-11 11:09:16,67
2022-04-11 11:09:17,127
2022-04-11 11:09:18,59
2022-04-11 11:09:19,53
2022-04-11 11:09:20,55
2022-04-11 11:09:21,82
2022-04-11 11:09:22,127
2022-04-11 11:09:23,76
2022-04-11 11:09:24,65
2022-04-11 11:09:25,59
2022-04-11 11:09:26,102
2022-04-11 11:09:27,92
2022-04-11 11:09:28,93
2022-04-11 11:09:29,125
2022-04-11 11:09:30,125
2022-04-11 11:09:31,134
2022-04-11 11:09:32,138
2022-04-11 11:09:33,54
2022-04-11 11:09:34,97
2022-04-11 11:09:35,131
2022-04-11 11:09:36,113
2022-04-11 11:09:37,56
2022-04-11 11:09:38,106
2022-04-11 11:09:39,56
2022-04-11 11:09:40,130
2022-04-11 11:09:41,119
2022-04-11 11:09:42,133
2022-04-11 11:09:43,80
2022-04-11 11:09:44,51
2022-04-11 11:09:45,111
2022-04-11 11:09:46,93
2022-04-11 11:09:47,123
2022-04-11 11:09:48,146
2022-04-11 11:09:49,91
2022-04-11 11:09:50,117
2022-04-11 11:09:51,111
2022-04-11 11:09:52,108
2022-04-11 11:09:53,107
2022-04-11 11:09:54,64
2022-04-11 11:09:55,97
2022-04-11 11:09:56,132
2022-04-11 11:09:57,137
2022-04-11 11:09:58,143
2022-04-11 11:09:59,146
2022-04-11 11:10:00,103
2022-04-11 11:10:01,106
2022-04-11 11:10:02,79
2022-04-11 11:10:03,75
2022-04-11 11:10:04,76
2022-04-11 11:10:05,125
2022-04-11 11:10:06,99
2022-04-11 11:10:07,109
2022-04-11 11:10:08,124
2022-04-11 11:10:09,107
2022-04-11 11:10:10,70
2022-04-11 11:10:11,68
2022-04-11 11:10:12,107
2022-04-11 11:10:13,74
2022-04-11 11:10:14,89
2022-04-11 11:10:15,141
2022-04-11 11:10:16,81
2022-04-11 11:10:17,61
2022-04-11 11:10:18,75
2022-04-11 11:10:19,115
2022-04-11 11:10:20,126
2022-04-11 11:10:21,125
2022-04-11 11:10:22,76
2022-04-11 11:10:23,62
2022-04-11 11:10:24,52
2022-04-11 11:10:25,93
2022-04-11 11:10:26,125
2022-04-11 11:10:27,69
2022-04-11 11:10:28,71
2022-04-11 11:10:29,92
2022-04-11 11:10:30,137
2022-04-11 11:10:31,118
2022-04-11 11:10:32,59
2022-04-11 11:10:33,140
2022-04-11 11:10:34,88
2022-04-11 11:10:35,96
2022-04-11 11:10:36,136
2022-04-11 11:10:37,134
2022-04-11 11:10:38,123
2022-04-11 11:10:39,139
2022-04-11 11:10:40,142
2022-04-11 11:10:41,97
2022-04-11 11:10:42,53
2022-04-11 11:10:43,51
2022-04-11 11:10:44,105
2022-04-11 11:10:45,111
2022-04-11 11:10:46,87
2022-04-11 11:10:47,63
2022-04-11 11:10:48,108
2022-04-11 11:10:49,63
2022-04-11 11:10:50,55
2022-04-11 11:10:51,61
2022-04-11 11:10:52,77
2022-04-11 11:10:53,133
2022-04-11 11:10:54,130
2022-04-11 11:10:55,119
2022-04-11 11:10:56,53
2022-04-11 11:10:57,82
2022-04-11 11:10:58,117
2022-04-11 11:10:59,52
2022-04-11 11:11:00,146
2022-04-11 11:11:01,85
2022-04-11 11:11:02,85
2022-04-11 11:11:03,117
2022-04-11 11:11:04,82
2022-04-11 11:11:05,110
2022-04-11 11:11:06,69
2022-04-11 11:11:07,79
2022-04-11 11:11:08,112
2022-04-11 11:11:09,73
2022-04-11 11:11:10,112
2022-04-11 11:11:11,98
2022-04-11 11:11:12,96
2022-04-11 11:11:13,59
2022-04-11 11:11:14,71
2022-04-11 11:11:15,133
2022-04-11 11:11:16,145
2022-04-11 11:11:17,100
2022-04-11 11:11:18,78
2022-04-11 11:11:19,111
2022-04-11 11:11:20,98
2022-04-11 11:11:21,134
2022-04-11 11:11:22,91
2022-04-11 11:11:23,130
2022-04-11 11:11:24,88
2022-04-11 11:11:25,115
2022-04-11 11:11:26,134
2022-04-11 11:11:27,53
2022-04-11 11:11:28,147
2022-04-11 11:11:29,126
2022-04-11 11:11:30,77
2022-04-11 11:11:31,124
2022-04-11 11:11:32,144
2022-04-11 11:11:33,59
2022-04-11 11:11:34,59
2022-04-11 11:11:35,142
2022-04-11 11:11:36,80
2022-04-11 11:11:37,122
2022-04-11 11:11:38,113
2022-04-11 11:11:39,118
2022-04-11 11:11:40,139
2022-04-11 11:11:41,71
2022-04-11 11:11:42,131
2022-04-11 11:11:43,95
2022-04-11 11:11:44,112
2022-04-11 11:11:45,66
2022-04-11 11:11:46,121
2022-04-11 11:11:47,117
2022-04-11 11:11:48,55
2022-04-11 11:11:49,140
2022-04-11 11:11:50,143
2022-04-11 11:11:51,86
2022-04-11 11:11:52,77
2022-04-11 11:11:53,124
2022-04-11 11:11:54,88
2022-04-11 11:11:55,105
2022-04-11 11:11:56,121
2022-04-11 11:11:57,139
2022-04-11 11:11:58,69
2022-04-11 11:11:59,77
2022-04-11 11:12:00,112
2022-04-11 11:12:01,103
2022-04-11 11:12:02,57
2022-04-11 11:12:03,146
2022-04-11 11:12:04,89
2022-04-11 11:12:05,127
2022-04-11 11:12:06,54
2022-04-11 11:12:07,79
2022-04-11 11:12:08,78
2022-04-11 11:12:09,87
2022-04-11 11:12:10,121
2022-04-11 11:12:11,112
2022-04-11 11:12:12,59
2022-04-11 11:12:13,112
2022-04-11 11:12:14,82
2022-04-11 11:12:15,146
2022-04-11 11:12:16,115
2022-04-11 11:12:17,138
2022-04-11 11:12:18,91
2022-04-11 11:12:19,139
2022-04-11 11:12:20,140
2022-04-11 11:12:21,82
2022-04-11 11:12:22,67
2022-04-11 11:12:23,58
2022-04-11 11:12:24,146
2022-04-11 11:12:25,61
2022-04-11 11:12:26,109
2022-04-11 11:12:27,140
2022-04-11 11:12:28,138
2022-04-11 11:12:29,130
2022-04-11 11:12:30,96
2022-04-11 11:12:31,94
2022-04-11 11:12:32,130
2022-04-11 11:12:33,81
2022-04-11 11:12:34,62
2022-04-11 11:12:35,102
2022-04-11 11:12:36,99
2022-04-11 11:12:37,96
2022-04-11 11:12:38,51
2022-04-11 11:12:39,75
2022-04-11 11:12:40,53
2022-04-11 11:12:41,95
2022-04-11 11:12:42,134
2022-04-11 11:12:43,98
2022-04-11 11:12:44,140
2022-04-11 11:12:45,122
2022-04-11 11:12:46,111
2022-04-11 11:12:47,81
2022-04-11 11:12:48,117
2022-04-11 11:12:49,71
2022-04-11 11:12:50,77
2022-04-11 11:12:51,128
2022-04-11 11:12:52,133
2022-04-11 11:12:53,98
2022-04-11 11:12:54,65
2022-04-11 11:12:55,145
2022-04-11 11:12:56,112
2022-04-11 11:12:57,68
2022-04-11 11:12:58,130
2022-04-11 11:12:59,123
2022-04-11 11:13:00,107
2022-04-11 11:13:01,141
2022-04-11 11:13:02,148
2022-04-11 11:13:03,75
2022-04-11 11:13:04,89
2022-04-11 11:13:05,51
2022-04-11 11:13:06,52
2022-04-11 11:13:07,94
2022-04-11 11:13:08,133
2022-04-11 11:13:09,94
2022-04-11 11:13:10,102
2022-04-11 11:13:11,136
2022-04-11 11:13:12,81
2022-04-11 11:13:13,147
2022-04-11 11:13:14,70
2022-04-11 11:13:15,143
2022-04-11 11:13:16,120
2022-04-11 11:13:17,67
2022-04-11 11:13:18,113
2022-04-11 11:13:19,123
2022-04-11 11:13:20,69
2022-04-11 11:13:21,142
2022-04-11 11:13:22,52
2022-04-11 11:13:23,149
2022-04-11 11:13:24,67
2022-04-11 11:13:25,56
2022-04-11 11:13:26,60
2022-04-11 11:13:27,118
2022-04-11 11:13:28,85
2022-04-11 11:13:29,94
2022-04-11 11:13:30,109
2022-04-11 11:13:31,104
2022-04-11 11:13:32,142
2022-04-11 11:13:33,98
2022-04-11 11:13:34,149
2022-04-11 11:13:35,95
2022-04-11 11:13:36,107
2022-04-11 11:13:37,69
2022-04-11 11:13:38,142
2022-04-11 11:13:39,103
2022-04-11 11:13:40,65
2022-04-11 11:13:41,61
2022-04-11 11:13:42,150
2022-04-11 11:13:43,127
2022-04-11 11:13:44,51
2022-04-11 11:13:45,89
2022-04-11 11:13:46,57
2022-04-11 11:13:47,121
2022-04-11 11:13:48,131
2022-04-11 11:13:49,51
2022-04-11 11:13:50,63
2022-04-11 11:13:51,79
2022-04-11 11:13:52,96
2022-04-11 11:13:53,108
2022-04-11 11:13:54,74
2022-04-11 11:13:55,112
2022-04-11 11:13:56,113
2022-04-11 11:13:57,107
2022-04-11 11:13:58,56
2022-04-11 11:13:59,137
2022-04-11 11:14:00,124
2022-04-11 11:14:01,95
2022-04-11 11:14:02,97
2022-04-11 11:14:03,77
2022-04-11 11:14:04,125
2022-04-11 11:14:05,124
2022-04-11 11:14:06,71
2022-04-11 11:14:07,68
2022-04-11 11:14:08,99
2022-04-11 11:14:09,66
2022-04-11 11:14:10,78
2022-04-11 11:14:11,65
2022-04-11 11:14:12,84
2022-04-11 11:14:13,130
2022-04-11 11:14:14,133
2022-04-11 11:14:15,50
2022-04-11 11:14:16,131
2022-04-11 11:14:17,75
2022-04-11 11:14:18,101
2022-04-11 11:14:19,105
2022-04-11 11:14:20,129
2022-04-11 11:14:21,92
2022-04-11 11:14:22,126
2022-04-11 11:14:23,132
2022-04-11 11:14:24,133
2022-04-11 11:14:25,115
2022-04-11 11:14:26,109
2022-04-11 11:14:27,111
2022-04-11 11:14:28,103
2022-04-11 11:14:29,84
2022-04-11 11:14:30,86
2022-04-11 11:14:31,94
2022-04-11 11:14:32,119
2022-04-11 11:14:33,82
2022-04-11 11:14:34,81
2022-04-11 11:14:35,50
2022-04-11 11:14:36,127
2022-04-11 11:14:37,127
2022-04-11 11:14:38,76
2022-04-11 11:14:39,81
2022-04-11 11:14:40,57
2022-04-11 11:14:41,149
2022-04-11 11:14:42,76
2022-04-11 11:14:43,121
2022-04-11 11:14:44,111
2022-04-11 11:14:45,131
2022-04-11 11:14:46,88
2022-04-11 11:14:47,83
2022-04-11 11:14:48,60
2022-04-11 11:14:49,83
2022-04-11 11:14:50,113
2022-04-11 11:14:51,123
2022-04-11 11:14:52,129
2022-04-11 11:14:53,65
2022-04-11 11:14:54,74
2022-04-11 11:14:55,73
2022-04-11 11:14:56,149
2022-04-11 11:14:57,102
2022-04-11 11:14:58,60
2022-04-11 11:14:59,149
2022-04-11 11:15:00,74
2022-04-11 11:15:01,111
2022-04-11 11:15:02,89
2022-04-11 11:15:03,133
2022-04-11 11:15:04,50
2022-04-11 11:15:05,54
2022-04-11 11:15:06,103
2022-04-11 11:15:07,72
2022-04-11 11:15:08,123
2022-04-11 11:15:09,92
2022-04-11 11:15:10,78
2022-04-11 11:15:11,68
2022-04-11 11:15:12,70
2022-04-11 11:15:13,70
2022-04-11 11:15:14,87
2022-04-11 11:15:15,96
2022-04-11 11:15:16,124
2022-04-11 11:15:17,130
2022-04-11 11:15:18,57
2022-04-11 11:15:19,107
2022-04-11 11:15:20,110
2022-04-11 11:15:21,80
2022-04-11 11:15:22,101
2022-04-11 11:15:23,63
2022-04-11 11:15:24,107
2022-04-11 11:15:25,65
2022-04-11 11:15:26,77
2022-04-11 11:15:27,147
2022-04-11 11:15:28,138
2022-04-11 11:15:29,67
2022-04-11 11:15:30,128
2022-04-11 11:15:31,90
